,region,country_code,borrower,loan_type,loan_status,interest_rate,original_principal_amount,cancelled_amount,disbursed_amount,repaid_to_ibrd,first_repayment_date,last_repayment_date,agreement_signing_date,board_approval_date,effective_date_(most_recent),closed_date_(most_recent),last_disbursement_date
region,1.0,1.0,0.9235346521558084,0.16728505205830843,0.09592121392698422,0.037848579596672,0.018760293138707924,0.01039525482695876,0.0114987822346575,0.014986224073059643,0.5161986936814624,0.5421217396916433,0.9100769999971068,0.7521752329301004,0.898870660422219,0.4259974163869699,0.8310488474216691
country_code,1.0,1.0,0.8318654421314756,0.3196161409574745,0.23094002524889012,0.197116917148786,0.11569719558155707,0.034994486422038576,0.09121313147818143,0.08981324987652671,0.5303626480638353,0.5577538485128719,0.8850205111171534,0.7475901652451391,0.8847315000873808,0.452568671203926,0.8313885655461328
borrower,0.9235346521558084,0.8318654421314756,1.0,0.44101222154030195,0.39560477381863846,0.32803292506839576,0.18258046644609696,0.13090151001009132,0.14091500048902622,0.12101329011166835,0.46300534009233674,0.4769181009181926,0.8095350440389854,0.6518911352456859,0.8493768561493169,0.39453821962122615,0.8543998822883575
loan_type,0.16728505205830843,0.3196161409574745,0.44101222154030195,1.0,0.33954809431270455,0.7748864866599918,0.1502580466830629,0.036750525426213675,0.10018852057492753,0.0351944107342208,0.673163498561522,0.6036041088498338,0.7856374477721947,0.7138384464820777,0.8234890455921596,0.6632735962075896,0.8726691490882322
loan_status,0.09592121392698422,0.23094002524889012,0.39560477381863846,0.33954809431270455,1.0,0.38725269354237357,0.1532755395595579,0.0799473615067582,0.13631759775385807,0.0421168833838549,0.6165200257341344,0.6069994139820536,0.860998105647268,0.797426682654243,0.884890705742751,0.6257490380521524,0.8555085348073629
interest_rate,0.037848579596672,0.197116917148786,0.32803292506839576,0.7748864866599918,0.38725269354237357,1.0,-0.32819765185566446,-0.09502889428998337,-0.2652567046826641,-0.07210222420142427,0.8126465870902674,0.8085090882275918,0.8966506371760569,0.8676198708683066,0.8978082381428638,0.7728550838467396,0.9268316120330071
original_principal_amount,0.018760293138707924,0.11569719558155707,0.18258046644609696,0.1502580466830629,0.1532755395595579,-0.32819765185566446,1.0,0.30035669656534064,0.9086797396208417,0.6123649989059492,0.3623320404359384,0.37069847453254734,0.7787308769945197,0.5908684481176827,0.7894191447609026,0.30529948146218316,0.7332319733403644
cancelled_amount,0.01039525482695876,0.034994486422038576,0.13090151001009132,0.036750525426213675,0.0799473615067582,-0.09502889428998337,0.30035669656534064,1.0,0.04350655841295089,0.0434064896133278,0.19011845573271954,0.1848966341957929,0.7610833245005393,0.5341329439797053,0.6558297555018894,0.16871808233701063,0.8117440748150795
disbursed_amount,0.0114987822346575,0.09121313147818143,0.14091500048902622,0.10018852057492753,0.13631759775385807,-0.2652567046826641,0.9086797396208417,0.04350655841295089,1.0,0.6923913058896362,0.3212691040501726,0.3386727232011971,0.7441480882628013,0.5394353543613601,0.7853654756191826,0.28551338791374065,0.7314320985387669
repaid_to_ibrd,0.014986224073059643,0.08981324987652671,0.12101329011166835,0.0351944107342208,0.0421168833838549,-0.07210222420142427,0.6123649989059492,0.0434064896133278,0.6923913058896362,1.0,0.24926893704924624,0.23104034204902243,0.6808173410667099,0.4569502129038945,0.7163823618835177,0.2913187333588092,0.7614533012609793
first_repayment_date,0.5161986936814624,0.5303626480638353,0.46300534009233674,0.673163498561522,0.6165200257341344,0.8126465870902674,0.3623320404359384,0.19011845573271954,0.3212691040501726,0.24926893704924624,1.0,0.6558219069656873,0.8297668870900441,0.7186102063900581,0.864205292503869,0.4974175249707651,0.8212529679723907
last_repayment_date,0.5421217396916433,0.5577538485128719,0.4769181009181926,0.6036041088498338,0.6069994139820536,0.8085090882275918,0.37069847453254734,0.1848966341957929,0.3386727232011971,0.23104034204902243,0.6558219069656873,1.0,0.8501025999503145,0.7391581732234077,0.8832204231988192,0.5275896392693957,0.8096836143776388
agreement_signing_date,0.9100769999971068,0.8850205111171534,0.8095350440389854,0.7856374477721947,0.860998105647268,0.8966506371760569,0.7787308769945197,0.7610833245005393,0.7441480882628013,0.6808173410667099,0.8297668870900441,0.8501025999503145,1.0,0.8728151686789835,0.8929966473056845,0.8305442024187613,0.8303729393380763
board_approval_date,0.7521752329301004,0.7475901652451391,0.6518911352456859,0.7138384464820777,0.797426682654243,0.8676198708683066,0.5908684481176827,0.5341329439797053,0.5394353543613601,0.4569502129038945,0.7186102063900581,0.7391581732234077,0.8728151686789835,1.0,0.8892704941429882,0.7132011380669177,0.8225787733969124
effective_date_(most_recent),0.898870660422219,0.8847315000873808,0.8493768561493169,0.8234890455921596,0.884890705742751,0.8978082381428638,0.7894191447609026,0.6558297555018894,0.7853654756191826,0.7163823618835177,0.864205292503869,0.8832204231988192,0.8929966473056845,0.8892704941429882,1.0,0.8827341977891275,0.8453981180119997
closed_date_(most_recent),0.4259974163869699,0.452568671203926,0.39453821962122615,0.6632735962075896,0.6257490380521524,0.7728550838467396,0.30529948146218316,0.16871808233701063,0.28551338791374065,0.2913187333588092,0.4974175249707651,0.5275896392693957,0.8305442024187613,0.7132011380669177,0.8827341977891275,1.0,0.833966698909438
last_disbursement_date,0.8310488474216691,0.8313885655461328,0.8543998822883575,0.8726691490882322,0.8555085348073629,0.9268316120330071,0.7332319733403644,0.8117440748150795,0.7314320985387669,0.7614533012609793,0.8212529679723907,0.8096836143776388,0.8303729393380763,0.8225787733969124,0.8453981180119997,0.833966698909438,1.0
