End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date,last_loan_status
2011-04-30 00:00:00,IBRD00470,AFRICA,ZR,"Congo, Democratic Republic of",MINISTERE DES FINANCES,BE,Belgium,NON POOL,Repaid,4.5,,P003006,GENERAL DEVELOPMENT,40000000.0,0.0,0.0,40000000.0,15153953.47,0.0,0.0,0.0,24846046.53,24846046.53,0,0.0,1957-03-15 00:00:00,1976-09-15 00:00:00,1951-09-13 00:00:00,1951-09-13 00:00:00,1952-01-26 00:00:00,1954-09-30 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD00660,EAST ASIA AND PACIFIC,AU,Australia,THE SECRETARY,AU,Australia,NON POOL,Repaid,4.75,,P037343,GENERAL DEVELOPMENT,50000000.0,0.0,0.0,50000000.0,19546723.56,0.0,-0.01,-0.01,30453276.44,30453276.44,0,0.0,1957-06-01 00:00:00,1972-12-01 00:00:00,1952-07-08 00:00:00,1952-07-08 00:00:00,1952-11-18 00:00:00,1954-09-30 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD00690,EUROPE AND CENTRAL ASIA,IS,Iceland,,,,NON POOL,Repaid,4.75,,P037386,INDUSTRY,854000.0,0.0,0.0,854000.0,854000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1954-12-01 00:00:00,1969-06-01 00:00:00,1952-08-26 00:00:00,1952-08-25 00:00:00,1952-10-28 00:00:00,1954-03-31 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD00710,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NON POOL,Repaid,4.75,,P009590,INDIAN IRON & STEEL,31500000.0,2297111.52,0.0,29202888.48,28502888.48,0.0,0.0,0.0,700000.0,700000.0,0,0.0,1959-04-15 00:00:00,1967-10-15 00:00:00,1952-12-18 00:00:00,1952-12-17 00:00:00,1954-10-29 00:00:00,1960-12-31 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD01320,LATIN AMERICA AND CARIBBEAN,UY,Uruguay,MINISTERIO DE ECONOMIA Y FINANZAS,UY,Uruguay,NON POOL,Repaid,4.75,,P008110,THERMAL PROJECT,5500000.0,0.0,0.0,5500000.0,4846000.0,0.0,0.01,0.01,654000.0,654000.0,0,0.0,1958-05-01 00:00:00,1975-05-01 00:00:00,1955-08-29 00:00:00,1955-08-26 00:00:00,1956-03-14 00:00:00,1959-02-28 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD01971,AFRICA,ZM,Zambia,H. M. TREASURY,GB,United Kingdom,NON POOL,Repaid,5.38,,P003151,RAILWAY,9500000.0,0.0,0.0,9500000.0,6502581.99,0.0,0.0,0.0,2997418.01,2997418.01,0,0.0,1961-11-01 00:00:00,1976-05-01 00:00:00,1958-06-16 00:00:00,1958-06-12 00:00:00,1958-06-26 00:00:00,1961-06-30 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD02060,EAST ASIA AND PACIFIC,JP,Japan,,,,NON POOL,Repaid,5.75,,P037433,NIPPON KOKAN STEEL,22000000.0,122932.39,0.0,21877067.61,8261696.63,0.0,0.0,0.0,13615370.98,13615370.98,0,0.0,1960-11-01 00:00:00,1973-11-01 00:00:00,1958-09-10 00:00:00,1958-09-09 00:00:00,1958-11-14 00:00:00,1963-12-31 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD02170,LATIN AMERICA AND CARIBBEAN,CO,Colombia,CONTRALORIA GENERAL DE LA REPUBLICA,CO,Colombia,NON POOL,Repaid,5.75,,P006694,LA ESMERALDA HYDROEL,4600000.0,0.0,0.0,4600000.0,4600000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1962-11-15 00:00:00,1979-05-15 00:00:00,1959-01-30 00:00:00,1959-01-29 00:00:00,1959-05-05 00:00:00,1964-12-31 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD02200,EAST ASIA AND PACIFIC,JP,Japan,JAPAN DEVELOPMENT BANK,,,NON POOL,Repaid,5.75,,P037435,MIBORO POWER,10000000.0,0.0,0.0,10000000.0,9000000.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,1974-03-15 00:00:00,1983-09-15 00:00:00,1959-02-17 00:00:00,1959-02-16 00:00:00,1959-02-24 00:00:00,1962-03-31 00:00:00,,Fully Repaid
2011-04-30 00:00:00,IBRD02730,EAST ASIA AND PACIFIC,JP,Japan,,,,NON POOL,Repaid,5.75,,P037440,SUMITOMO STEEL II,7000000.0,0.0,0.0,7000000.0,4016000.0,0.0,0.01,0.01,2984000.0,2984000.0,0,0.0,1963-08-01 00:00:00,1975-08-01 00:00:00,1960-12-20 00:00:00,1960-12-16 00:00:00,1961-01-20 00:00:00,1962-09-30 00:00:00,,Fully Repaid
